
[-68, -51, -100, -78, -90],17/02/2022 19:51:17
[-66, -49, -78, -78, -89],17/02/2022 19:51:21
[-66, -49, -79, -79, -100],17/02/2022 19:51:25
[-65, -49, -79, -79, -100],17/02/2022 19:51:29
[-100, -50, -90, -84, -100],17/02/2022 19:51:33
[-82, -54, -100, -82, -100],17/02/2022 19:51:38
[-63, -54, -100, -89, -100],17/02/2022 19:51:42
[-64, -54, -80, -83, -93],17/02/2022 19:51:46
[-100, -53, -100, -80, -100],17/02/2022 19:51:50
[-100, -50, -100, -79, -89],17/02/2022 19:51:54
[-61, -49, -100, -80, -100],17/02/2022 19:51:58
[-63, -48, -100, -78, -100],17/02/2022 19:52:02
[-64, -50, -100, -86, -100],17/02/2022 19:52:07
[-62, -50, -100, -85, -91],17/02/2022 19:52:11
[-63, -49, -100, -86, -100],17/02/2022 19:52:15
[-63, -53, -79, -86, -100],17/02/2022 19:52:20
[-60, -53, -82, -81, -100],17/02/2022 19:52:23
[-63, -53, -79, -86, -93],17/02/2022 19:52:27
[-62, -53, -82, -79, -89],17/02/2022 19:52:32
[-64, -51, -100, -79, -100],17/02/2022 19:52:36
[-60, -50, -100, -78, -93],17/02/2022 19:52:40
[-63, -50, -100, -86, -100],17/02/2022 19:52:44
[-66, -51, -100, -77, -100],17/02/2022 19:52:48
[-70, -50, -100, -84, -92],17/02/2022 19:52:52
[-60, -49, -100, -85, -93],17/02/2022 19:52:57
[-64, -49, -100, -84, -91],17/02/2022 19:53:01
[-61, -49, -78, -78, -91],17/02/2022 19:53:05
[-61, -49, -100, -78, -100],17/02/2022 19:53:09
[-62, -49, -100, -78, -100],17/02/2022 19:53:13
[-64, -53, -100, -78, -100],17/02/2022 19:53:17
[-68, -49, -100, -86, -94],17/02/2022 19:53:22
[-64, -53, -100, -100, -90],17/02/2022 19:53:26
[-100, -53, -100, -78, -100],17/02/2022 19:53:30
[-63, -49, -100, -79, -89],17/02/2022 19:53:34
[-65, -49, -95, -78, -91],17/02/2022 19:53:38
[-64, -49, -100, -78, -93],17/02/2022 19:53:42
[-71, -50, -78, -78, -91],17/02/2022 19:53:47
[-64, -49, -100, -87, -100],17/02/2022 19:53:51
[-63, -54, -77, -77, -90],17/02/2022 19:53:55
[-70, -53, -80, -85, -91],17/02/2022 19:53:59
[-64, -53, -100, -100, -100],17/02/2022 19:54:03
[-64, -53, -76, -84, -92],17/02/2022 19:54:07
[-70, -49, -100, -89, -100],17/02/2022 19:54:11
[-65, -51, -100, -82, -100],17/02/2022 19:54:16
[-64, -50, -94, -78, -100],17/02/2022 19:54:20
[-64, -50, -100, -79, -100],17/02/2022 19:54:24
